Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Funding Texts,Document Type,Publication Stage,Open Access,Source,EID,relevant,country_first_author,subject_category,subject_cluster,subject_megatrend,ai_method,ai_task,main_goal,sdg_alignment,article_type,methodological_approach,spatial_scale,temporal_scale,temporal_focus,level_of_sustainability
"Pascual, P.; Pascual, C.","Pascual, Pasky (23111301200); Pascual, Cam (57396195800)",23111301200; 57396195800,Tracking Cloud Forests With Cloud Technology and Random Forests,2021,Frontiers in Environmental Science,9,,800179,,,3,10.3389/fenvs.2021.800179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122268487&doi=10.3389%2Ffenvs.2021.800179&partnerID=40&md5=4366cc5b06da1bc02f4dcdba703f9797,"United States Environmental Protection Agency, Washington, D.C., DC, United States; World Wildlife Fund, Washington, D.C., United States","Pascual, Pasky, United States Environmental Protection Agency, Washington, D.C., DC, United States; Pascual, Cam, World Wildlife Fund, Washington, D.C., United States","Hotspots of endemic biodiversity, tropical cloud forests teem with ecosystem services such as drinking water, food, building materials, and carbon sequestration. Unfortunately, already threatened by climate change, the cloud forests in our study area are being further endangered during the Covid pandemic. These forests in northern Ecuador are being razed by city dwellers building country homes to escape the Covid virus, as well as by illegal miners desperate for money. Between August 2019 and July 2021, our study area of 52 square kilometers lost 1.17% of its tree cover. We base this estimate on simulations from the predictive model we built using Artificial Intelligence, satellite images, and cloud technology. When simulating tree cover, this model achieved an accuracy between 96 and 100 percent. To train the model, we developed a visual and interactive application to rapidly annotate satellite image pixels with land use and land cover classes. We codified our algorithms in an R package—loRax—that researchers, environmental organizations, and governmental agencies can readily deploy to monitor forest loss all over the world. © © 2021 Pascual and Pascual.",Microsoft’s AI for Earth program provided free access to their Azure cloud platform. The program also arranged for free access to Airbus satellite rasters. This project was supported by the community of Mindo. The pueblo’s people sustained the work by offering hospitality and by providing us with the oral history of the area. This helped inform our understanding of Mindo’s spatial structure.,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85122268487,No,United States,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA
"Burger, A.; Schiele, G.; King, D.W.","Burger, Alwyn (57189661442); Schiele, Gregor (18435055500); King, David W. (57126675000)",57189661442; 18435055500; 57126675000,Developing Action Policies with Q-Learning and Shallow Neural Networks on Reconfigurable Embedded Devices,2021,ACM Transactions on Autonomous and Adaptive Systems,15,4,14,,,2,10.1145/3487920,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145769695&doi=10.1145%2F3487920&partnerID=40&md5=7a30ab6bbc4f1dceab3d7c3f21175b0e,"Universität Duisburg-Essen, Duisburg, Nordrhein-Westfalen, Germany; AFIT Graduate School of Engineering and Management, Dayton, OH, United States","Burger, Alwyn, Universität Duisburg-Essen, Duisburg, Nordrhein-Westfalen, Germany; Schiele, Gregor, Universität Duisburg-Essen, Duisburg, Nordrhein-Westfalen, Germany; King, David W., AFIT Graduate School of Engineering and Management, Dayton, OH, United States","The size of sensor networks supporting smart cities is ever increasing. Sensor network resiliency becomes vital for critical networks such as emergency response and waste water treatment. One approach is to engineer ""self-aware""sensors that can proactively change their component composition in response to changes in work load when critical devices fail. By extension, these devices could anticipate their own termination, such as battery depletion, and offload current tasks onto connected devices. These neighboring devices can then reconfigure themselves to process these tasks, thus avoiding catastrophic network failure. In this article, we compare and contrast two types of self-aware sensors. One set uses Q-learning to develop a policy that guides device reaction to various environmental stimuli, whereas the others use a set of shallow neural networks to select an appropriate reaction. The novelty lies in the use of field programmable gate arrays embedded on the sensors that take into account internal system state, configuration, and learned state-action pairs, which guide device decisions to meet system demands. Experiments show that even relatively simple reward functions develop both Q-learning policies and shallow neural networks that yield positive device behaviors in dynamic environments. © 2021 Copyright held by the owner/author(s).",The authors acknowledge the financial support by the Federal Ministry of Education and Research of Germany in the KI-Sprung LUTNet project (project number 16ES1125).,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85145769695,Yes,Germany,Infrastructure,Smart City Infrastructure,Digital Transformation & Smart Cities,"Q-Learning, Neural Network",Reinforcement Learning,Develop self-aware sensors for smart city networks using Q-learning and neural networks on embedded devices,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Present,Cross-sectional,Strong
"Bulgakova, E.; Lidin, K.","Bulgakova, Elena A. (57195918984); Lidin, Konstantin L. (57195921127)",57195918984; 57195921127,Urban infrastructure modeling: Ethical and aesthetic aspects; Моделирование городской инфраструктуры - этико-эстетические аспекты,2021,Project Baikal,,70,,84,89,1,10.51461/PROJECTBAIKAL.70.1894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122650907&doi=10.51461%2FPROJECTBAIKAL.70.1894&partnerID=40&md5=15d85f00317eab29ee4c34453b5554ef,"MITU-MACI, Russian Federation","Bulgakova, Elena A., MITU-MACI, Russian Federation; Lidin, Konstantin L., ","In modern urban planning discourse, ethical issues, primarily the fairness of resource allocation, are being discussed more and more persistently. The city's infrastructure is considered here as an expression of the principles of social philosophy. The article raises the problem of modeling the ethical and aesthetic aspects of urban infrastructure using artificial intelligence as part of the general trend in the development of modern architecture. © 2021 Russian Academy of Architecture and Construction Sciences, Vostoksibacademcenter. All rights reserved.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85122650907,Yes,Russian Federation,Urban Design,Urban Planning & Land Use,Urban Development & Land Use,Not Specified,Not Specified,Model ethical and aesthetic aspects of urban infrastructure using AI in modern architecture,SDG 11 (Sustainable Cities),Conceptual/Theoretical,Qualitative,Local,Present,Longitudinal,Medium
"Yang, J.; Guo, X.; Chen, Z.","Yang, Jialin (57375132800); Guo, Xuejun (57116791700); Chen, Zehua (56000549900)",57375132800; 57116791700; 56000549900,Road extraction method from remote sensing images based on improved U-Net network; 改进U-Net型网络的遥感图像道路提取,2021,Journal of Image and Graphics,26,12,,3005,3014,7,10.11834/jig.200579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121293566&doi=10.11834%2Fjig.200579&partnerID=40&md5=187e312dab3337efd6b77299abf86288,"College of Electrical and Power Engineering, Taiyuan University of Technology, Taiyuan, Shanxi, China; College of Data Science, Taiyuan University of Technology, Taiyuan, Shanxi, China","Yang, Jialin, College of Electrical and Power Engineering, Taiyuan University of Technology, Taiyuan, Shanxi, China; Guo, Xuejun, College of Data Science, Taiyuan University of Technology, Taiyuan, Shanxi, China; Chen, Zehua, College of Data Science, Taiyuan University of Technology, Taiyuan, Shanxi, China","Objective: Road extraction from remote sensing images has played an important role in city planning, traffic management, vehicle navigation, map updating and other fields nowadays, the characteristics of the road area in the remote sensing image have been affected by many factors such as lighting, noise and occlusion in the image acquisition process. A huge number of similar non-road objects, such as building areas and water areas have interfered with the road area recognition process simultaneously. The above two factors have increased the difficulty of road extraction from remote sensing images. Supervised learning-based road extraction algorithms such as support vector machines and traditional artificial neural networks have to artificially design features so as to train classification models. The recognition rate of these traditional methods has been significantly decreased when facing with the interference of the similar non-road targets and the rich information of the background in the images. Recently, a variety of deep learning techniques of convolutional neural networks have been widely used in the field of remote sensing image processing based on its efficient feature learning ability. Deep learning network has made a great progress in road extraction. It can not only obtain the overall network structure of the road, but also the clear boundaries of the road. A U-Net road segmentation network has been proposed improve the road extraction quality based on the context information and attention mechanism. Method A novel deep neural network for road extraction from remote sensing images has been proposed based on the symmetrical structure of U-Net network and attention mechanism. In the network structure, the introduction of the pre-trained Resnet-34 network can effectively extract image features at different granularities. Resnet-34 residual network has been used as the backbone network of the novel U-Net network. Residual learning can greatly reduce the training time of the deep network, avoid the phenomenon of gradient disappearance, and improve the training accuracy. Meanwhile, the context information has contained the interaction information between different objects, the interaction information between the object and the scene, which can be used as features to combine the various parts between the roads and distinguish the road and the background. The context information extraction module can integrate the context information to ensure that the geometric topology of the road is extracted in the image. To adjust the feature weights, the attention mechanism module can be transmitted by the skip connection, strengthened by the feature information of the road area, suppressed by the feature information of the non-road area improved by the segmentation effect of the road edge thereby effectively improving the accuracy of road segmentation. The improved model has resolved the incomplete and disconnected road structure to a certain extent by adding the context information extraction module. Furthermore, the decoder combined attention mechanism has been used to adjust the feature weights of skip connections to improve the segmentation effect of the road edge area. Combining attention mechanism and context information extraction module can effectively use global and local remote sensing image information to improve the road extraction performance. Result The model on the Deep Globe 2018 road extraction challenge dataset has been tested to evaluate the performance of the proposed model quantitatively. The Deep Global satellite road extraction dataset has contained 6 226 pairs of RGB satellite remote sensing images and labeled with dimension of 1 024 × 1 024 pixels. The dataset has been divided into 5 500 training set and 726 test set in the experiments. In order to evaluate the performance of the road segmentation model, two semantic segmentation performance indices have been commonly used in remote sensing image road segmentation: recall rate (recall) and intersection over union (IOU). The comprehensive experiments have shown that the recall rate and intersection over union of the proposed algorithm for the Deep Globe 2018 road extraction challenge dataset reached 0.847 2 and 0.691 5, respectively. The proposed model can segment a continuous road network. At the same time, the missing location information has been effectively restored to make the edges of the road clearer. The proposed algorithm can improve the use of remote sensing image information by adding context information module and attention mechanism. Compared with U-Net, context encoder network(CE-Net) and other models, it has higher accuracy and robustness. Conclusion: A road extraction model for remote sensing images combined context information and attention mechanism has been proposed. The novel model has benefited from its pre-trained Resnet-34 backbone network and utilization of context information. Utilization of context information has solved incomplete and disconnected road structure to a certain extent. The decoder of the attention mechanism has improved the segmentation effect of the road edge area. The experimental results have demonstrated that the network achieved good results of road extraction from remote sensing images. The proposed method has improved the road segmentation accuracy and displayed the potential in remote sensing image processing. © 2021, Editorial Office of Journal of Image and Graphics. All right reserved.",收稿日期:2020-10-10;修回日期:2020-12-29;预印本日期:2021-01-05 ∗通信作者:陈泽华　 zehuachen@ 163. com 基金项目:国家自然科学基金项目(11305115) Supported by:National Natural Science Foundation of China(11305115),Article,Final,,Scopus,2-s2.0-85121293566,Yes,China,Transportation,Transportation & Mobility,Urban Mobility & Transportation,U-Net (CNN),Segmentation,Extract road networks from remote sensing images for city planning using improved U-Net,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Methodological,Quantitative,Local,Present,Cross-sectional,Medium
"Kokkinos, K.; Karayannis, V.; Nathanail, E.; Moustakas, K.","Kokkinos, Konstantinos K. (6505702343); Karayannis, Vayos G. (16316467500); Nathanail, Eftihia G. (16316887300); Moustakas, Konstantinos G. (36920992800)",6505702343; 16316467500; 16316887300; 36920992800,A comparative analysis of Statistical and Computational Intelligence methodologies for the prediction of traffic-induced fine particulate matter and NO2,2021,Journal of Cleaner Production,328,,129500,,,21,10.1016/j.jclepro.2021.129500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118481203&doi=10.1016%2Fj.jclepro.2021.129500&partnerID=40&md5=be0ab2c54a35a15e0ca00b015bae6d40,"Department of Energy Systems, University of Thessaly, Volos, Thessaly, Greece; Department of Chemical Engineering, University of Western Macedonia, Kozani, Western Macedonia, Greece; Department of Civil Engineering, University of Thessaly, Volos, Thessaly, Greece; National Technical University of Athens (NTUA), Athens, Attica, Greece","Kokkinos, Konstantinos K., Department of Energy Systems, University of Thessaly, Volos, Thessaly, Greece; Karayannis, Vayos G., Department of Chemical Engineering, University of Western Macedonia, Kozani, Western Macedonia, Greece; Nathanail, Eftihia G., Department of Civil Engineering, University of Thessaly, Volos, Thessaly, Greece; Moustakas, Konstantinos G., National Technical University of Athens (NTUA), Athens, Attica, Greece","With the urbanization increase, urban mobility and transportation induce higher traffic volumes causing environmental, economic and social impacts. This is due to continuous usage of fossil fuel energy resources generating air pollutants, such as nitrogen oxides (NO<inf>x</inf>), sulfur dioxide (SO<inf>2</inf>), carbon monoxide (CO), ozone (O<inf>3</inf>) and particulate matter (PM<inf>10</inf> and PM<inf>2.5</inf>), which impact on climate and air quality and adversely affect the human health. The present paper aims at training an ensemble of forecasting methodologies for traffic-induced pollutant emissions and implementing it for predicting PM<inf>10</inf>, PM<inf>2.5</inf> and NO<inf>2</inf> for the case study of Cambridge, UK inner-city region. Such an ensemble enables decision makers to evaluate the impact of various transportation policies and measures on human health and the ecosystem, and subsequently contribute towards urban resilience and sustainability. Since the chemical synthesis of air pollution is triggered by meteorological factors, the forecasting incorporates them along with the traffic volumes. We opted to combine Statistical and Computational Intelligence learning methods including Adaptive Neuro Fuzzy Inference Systems (ANFIS), Long Short-Term Memory (LSTM) recurrent neural networks and Extreme Learning Machines (ELM). Initially, Multivariate Imputation by Chained Equation (MICE) and trend and seasonality removal was performed at data preprocessing and then Principal Component Analysis (PCA) highlighted the principal parameters for ANFIS to predict next day's PM<inf>10</inf>, PM<inf>2.5</inf> and NO<inf>2</inf> values. LSTM and ELM methods estimated next day values and compared with the ANFIS model results for hourly time series data of length 2703. The performance of the embedded models was quantified by the Root Mean Square Error (RMSE), Mean Absolute Error (MAE), Mean Square Error (MSE), and Coefficient of Determination (R2) indices. The ensemble was found to be superior in predicting PM<inf>10</inf>, PM<inf>2.5</inf> and NO<inf>2</inf> emissions when compared with existing traditional models. © Elsevier Ltd",,Article,Final,,Scopus,2-s2.0-85118481203,Yes,Greece,Environment,Environment & Sustainability,Climate Change & Environmental Sustainability,"ANN, SVM, Random Forest",Prediction/Forecasting,Predict traffic-induced PM2.5 and NO2 air pollution using statistical and AI methods,"SDG 3 (Health), SDG 11 (Sustainable Cities), SDG 13 (Climate)",Empirical,Quantitative,Local,Future,Longitudinal,Strong
"Nishimwe, A.M.R.; Reiter, S.","Nishimwe, Antoinette Marie Reine (57218421693); Reiter, Sigrid (36570883500)",57218421693; 36570883500,"Estimation, analysis and mapping of electricity consumption of a regional building stock in a temperate climate in Europe",2021,Energy and Buildings,253,,111535,,,15,10.1016/j.enbuild.2021.111535,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116936763&doi=10.1016%2Fj.enbuild.2021.111535&partnerID=40&md5=ec51f6e0587e86af0cb34a6c0d32753a,"Urban and Environmental Engineering, Université de Liège, Liege, WLG, Belgium","Nishimwe, Antoinette Marie Reine, Urban and Environmental Engineering, Université de Liège, Liege, WLG, Belgium; Reiter, Sigrid, Urban and Environmental Engineering, Université de Liège, Liege, WLG, Belgium","This study financed by ERDF and the Wallonia Region estimates the annual electricity consumption (EC) of building stock, including the 3 building sectors namely residential, tertiary and industrial building. The estimation takes into account appliances, electrical heating, cooling, lighting, cooking and EC by m2 on a building level. The results are spatialized on different territorial scales. Using cadastral data of more than 1,700,000 Walloon buildings and annual EC data from a sample collected in 2012 from the energy reports, the paper assesses the EC of the whole building stock and tests to what extent different types of variables (building factors and socio-demographics) explain annual EC. It then shows which individual variables have the highest explanatory power. In contrast to many other studies, the research recognizes the problem of multicollinearity between predictors in regression analysis and uses Lasso regression to address this issue. Three separate regression models were used to study the predictors of annual EC of residential, tertiary and industrial buildings. EC building factors (appliances, auxiliary and main heating, domestic hot water and cooking) explained the largest share which is 66.46% of the variability in EC for residential buildings whereas the EC usages share for tertiary buildings (lighting, heating and domestic hot water, air conditioning, cooling, etc.) is about 50.53% and 38.55% for industrial buildings. Socio-demographic variables on their own explained about 61.59%, 26.34% and 3.41% of the annual EC, respectively for residential, tertiary and industrial buildings. Hence, the building variables present the highest explanatory power for EC, presumably because heating and cooling EC are included in this study. The study highlights that when attempting to explain EC related to Walloon households, including heating and cooling EC, appliances usage has the strongest predictive power in residential buildings. On the other hand, the projected decrease in EC use for heating in existing residential buildings is −8.82% and −10% for existing tertiary buildings while the projected increase in EC use for cooling in existing tertiary buildings is + 11.94% from 2012 to 2050 on a regional scale. These trends follow the predicted regional heating degree-days (HDD) of −11.76% and cooling degree-days (CDD) of 14.04% for the same period based on the gated recurrent unit (GRU) an implemented deep learning (DL) model. In addition, the produced EC maps on different territorial scales show that the highest EC is seen in large and main cities in general. © 2021 Elsevier B.V.","Funding text 1: The authors acknowledge the European Regional Development Fund (ERDF) and the Walloon Region of Belgium, which financed the Wal-e-cities projects. Also, thanks to the LEMA research team of the University of Liège where this study is conducted.; Funding text 2: This research, which is part of Wal-e-cities projects, is financed by the European Regional Development Fund (ERDF) and the Wallonia Region of Belgium.",Article,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85116936763,Yes,Belgium,Energy,Smart Grid & Energy,Climate Change & Environmental Sustainability,Not Specified,Prediction/Forecasting,Estimate and map electricity consumption of regional building stock in Wallonia,"SDG 7 (Energy), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Future,Longitudinal,Strong
"Bonilla-Bedoya, S.; López-Ulloa, M.; Mora, A.; Pezzopane, J.E.; Salazar, L.; Herrera, M.Á.","Bonilla-Bedoya, Santiago (55360745200); López-Ulloa, Magdalena (8593242800); Mora, Argenis (57272224300); Pezzopane, José Eduardo Macedo (15832724700); Salazar, Laura (55100465200); Herrera, Miguel Angel (8731038800)",55360745200; 8593242800; 57272224300; 15832724700; 55100465200; 8731038800,Urban soils as a spatial indicator of quality for urban socio-ecological systems,2021,Journal of Environmental Management,300,,113556,,,10,10.1016/j.jenvman.2021.113556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115742366&doi=10.1016%2Fj.jenvman.2021.113556&partnerID=40&md5=c20ed109470d393d66578779fad1e165,"Research Center for the Territory and Sustainable Habitat, Universidad Tecnológica Indoamérica, Ambato, Tungurahua, Ecuador; School of Environmental Sciences, Universidad Tecnológica Indoamérica, Ambato, Tungurahua, Ecuador; Ingeniería en Agroecología, Universidad Regional Amazónica Ikiam, Tena, Napo, Ecuador; EARTH University, Limón, Costa Rica; Universidade Federal do Espírito Santo, Vitoria, ES, Brazil; Universidad Tecnológica Indoamérica, Ambato, Tungurahua, Ecuador; Department of Forest Engineering, Universidad de Córdoba, Cordoba, Cordoba, Spain","Bonilla-Bedoya, Santiago, Research Center for the Territory and Sustainable Habitat, Universidad Tecnológica Indoamérica, Ambato, Tungurahua, Ecuador, School of Environmental Sciences, Universidad Tecnológica Indoamérica, Ambato, Tungurahua, Ecuador; López-Ulloa, Magdalena, Ingeniería en Agroecología, Universidad Regional Amazónica Ikiam, Tena, Napo, Ecuador; Mora, Argenis, EARTH University, Limón, Costa Rica; Pezzopane, José Eduardo Macedo, Universidade Federal do Espírito Santo, Vitoria, ES, Brazil; Salazar, Laura, School of Environmental Sciences, Universidad Tecnológica Indoamérica, Ambato, Tungurahua, Ecuador, Universidad Tecnológica Indoamérica, Ambato, Tungurahua, Ecuador; Herrera, Miguel Angel, Department of Forest Engineering, Universidad de Córdoba, Cordoba, Cordoba, Spain","The development of criteria and indicators to quantify the transition to sustainability of the urban socio-ecological systems quality is determinant for planning policies and the 21st century urban agenda. This study models the spatial variation in the concentration and distribution of some macronutrients, micronutrients, and trace nutrients in the soil of a high-altitude city in the Andes. Meanwhile, machine learning methods were employed to study some interactions between the different dimensions that constitute an urban socio-ecosystem that caused these variations. We proposed a methodology that considered two phases: a) field work to collect data on 300 soil samples; laboratory analysis to measure the concentrations of 24 macronutrients, micronutrients, and trace nutrients; and the design of geophysical, spectral, and urban co-variables; b) statistical and geo-informatics analysis, where multivariate analysis grouped the elements into factors; and, machine learning integrated with co-variables was applied to derive the intensity of each factor across the city. Multivariate statistics described the variation in soil co-concentrations with a moderate percentage (42%). Four factors were determined that grouped some of the analyzed elements, as follows: F1 (Zn, S, Cu, Pb, Ni, and Cr), F2 (Ba, Ag, K, In, and Mg), F3 (B, V, Li, and Sr), and F4 (Si and Mn). The percentage R2 out-of-bag of the spatial model were: F1 = 20%, F2 = 8%, F3 = 14%, and F4 = 10%. Our outputs show that the enrichment and contamination by anthropogenic factors, such as the increase in population density, land use, road network, and traffic generated by fossil fuel vehicles, should be prioritized in urban planning decisions. © 2021","Funding text 1: The authors would like to thank to Universidad Tecnológica Indoamérica and Corporación Ecuatoriana para el Desarrollo de la Investigación y Academia - CEDIA for the financial support given to the present research, development, and innovation work through its CEPRA program, especially for the “Resiliencia ambiental en sistemas socio-ecológicos urbanos de ciudades neo-tropicales, casos Quito y Guayaquil” fund. To Ph.D. Nora Oleas, Mgt. Angélica Vaca Yánez, Mgt. Juan Yépez, B. Eng. Sebastián Segura, B. Eng. Domenica Pineda, and B. Eng. Jefferson Rivadeneira for their support in field work.; Funding text 2: The authors would like to thank to Universidad Tecnol?gica Indoam?rica and Corporaci?n Ecuatoriana para el Desarrollo de la Investigaci?n y Academia - CEDIA for the financial support given to the present research, development, and innovation work through its CEPRA program, especially for the ?Resiliencia ambiental en sistemas socio-ecol?gicos urbanos de ciudades neo-tropicales, casos Quito y Guayaquil? fund. To Ph.D. Nora Oleas, Mgt. Ang?lica Vaca Y?nez, Mgt. Juan Y?pez, B. Eng. Sebasti?n Segura, B. Eng. Domenica Pineda, and B. Eng. Jefferson Rivadeneira for their support in field work.",Article,Final,,Scopus,2-s2.0-85115742366,Yes,Ecuador,Environment,Environment & Sustainability,Climate Change & Environmental Sustainability,Machine Learning (unspecified),Prediction/Forecasting,Model urban soil quality as indicator for urban socio-ecological system sustainability,"SDG 11 (Sustainable Cities), SDG 15 (Land)",Empirical,Quantitative,Local,Future,Cross-sectional,Strong
"Zhang, Y.-L.; Wang, Q.; Chen, M.-K.; Sun, J.-T.","Zhang, Yulong (57839736500); Wang, Qiang (57221577106); Chen, Mingkang (57220746670); Sun, Jingtao (56491735100)",57839736500; 57221577106; 57220746670; 56491735100,Survey of Intelligent Rain Removal Algorithms for Cloud-IoT Systems; 图像去雨算法在云物联网应用中的研究综述,2021,Computer Science (China),48,12,,231,242,0,10.11896/jsjkx.201000055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020419400&doi=10.11896%2Fjsjkx.201000055&partnerID=40&md5=94bbbca041e1daf841d0290ebf0aae68,"School of Logistics Engineering, Wuhan University of Technology, Wuhan, Hubei, China; Department of Informatics, The Graduate University for Advanced Studies, Hayama, Kanagawa, Japan; Information Systems Architecture Science Research Division, Research Organization of Information and Systems National Institute of Informatics, Tokyo, Japan","Zhang, Yulong, School of Logistics Engineering, Wuhan University of Technology, Wuhan, Hubei, China; Wang, Qiang, School of Logistics Engineering, Wuhan University of Technology, Wuhan, Hubei, China; Chen, Mingkang, Department of Informatics, The Graduate University for Advanced Studies, Hayama, Kanagawa, Japan; Sun, Jingtao, Information Systems Architecture Science Research Division, Research Organization of Information and Systems National Institute of Informatics, Tokyo, Japan","According to the “White Paper on China's Intelligent Internet of Things (AIoT) 2020”,with the prompt development of China's 5G network,the rapid popularization of large-capacity with low-price IoT sensor devices and the explosive growth of data,image processing is widely used in various fields of Internet of Things,such as smart city,smart transportation,smart healthcare,and other industry,etc.In these research areas,researchers usually ignore the actual problems in the data collection process,for instance,data degradation caused by time changes:seasonal shifting,diurnal variation,weather changes,and noise problems caused by spatial changes:object superposition,blur,and partial occlusion.Among those problems,the weather pro-blems represented by rainy days are the most challenging and common.Therefore,this paper systematically investigates the actual problems in the data collection process above,classifies and summarizes the image rain-removal algorithms under complex weather conditions.At the same time,regarding the compute-intensive execution of such algorithms,we utilize the Amazon EC2 cloud instance G4 and P3 series to quantitatively evaluate the processing time and effect of various reviewed rain removal algorithms.Finally,we illustrate the characteristics of various rain removal algorithms and the latest trends in Cloud-IoT applications. © 2021 Editorial office of Computer Science. All rights reserved.","Supported by National Key R&D Program of China(2018YFC1407405), Fundamental Research Funds for the Central Universities(WUT:2019III103CG) and National Natural Science Foundation of China(71672137).",Article,Final,,Scopus,2-s2.0-105020419400,Yes,China,Infrastructure,Smart City Infrastructure,Digital Transformation & Smart Cities,"CNN, GAN, Recurrent Neural Network",Image Processing,Survey image de-raining algorithms for IoT applications in smart cities,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Review/Survey,Qualitative,Local,Present,Longitudinal,Medium
"Batiha, T.; Krömer, P.","Batiha, Tarek (57210182085); Krömer, Pavel (8907452600)",57210182085; 8907452600,Design and analysis of efficient neural intrusion detection for wireless sensor networks,2021,Concurrency and Computation: Practice and Experience,33,23,e6152,,,6,10.1002/cpe.6152,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097592354&doi=10.1002%2Fcpe.6152&partnerID=40&md5=3c46d103386a9f72ae449b20c8053541,"VSB – Technical University of Ostrava, Ostrava, Moravian-Silesian Region, Czech Republic","Batiha, Tarek, VSB – Technical University of Ostrava, Ostrava, Moravian-Silesian Region, Czech Republic; Krömer, Pavel, VSB – Technical University of Ostrava, Ostrava, Moravian-Silesian Region, Czech Republic","Wireless sensor networks (WSNs) are important building blocks of the communication infrastructure in smart cities, intelligent transportation systems, Industry, Energy, and Agriculture 4.0, the Internet of Things, and other areas quickly adopting the concepts of fog and edge computing. Their cybernetic security is a major issue and efficient methods to improve their safety and reliability are required. Intrusion detection systems (IDSs) are complex systems that discover cybernetic attacks, detect malicious network traffic, and, in general, protect computer systems. Artificial neural networks are used by a variety of advanced intrusion detection systems with outstanding results. Their successful use in the specific conditions of WSNs requires efficient learning, adaptation, and inference. In this work, the acceleration of a neural intrusion detection model, developed specifically for wireless sensor networks, is proposed and studied, especially from the learning and classification accuracy and energy consumption points of view. © 2020 John Wiley & Sons, Ltd.","This work was supported from ERDF in project “A Research Platform focused on Industry 4.0 and Robotics in Ostrava”, reg. no. CZ.02.1.01/0.0/0.0/17_049/0008425, by the Technology Agency of the Czech Republic in the frame of the project no. TN01000024 “National Competence Center – Cybernetics and Artificial Intelligence”, and in part by the grants of the Student Grant System no. SP2020/108 and SP2020/161, VSB ‐ Technical University of Ostrava, Czech Republic.",Article,Final,,Scopus,2-s2.0-85097592354,Yes,Czech Republic,Safety/Crime,Security & Safety,Digital Transformation & Smart Cities,Neural Network,Classification,Design efficient neural intrusion detection systems for wireless sensor networks in smart cities,"SDG 9 (Infrastructure), SDG 11 (Sustainable Cities)",Empirical,Quantitative,Local,Present,Cross-sectional,Strong
"Li, W.; Su, Z.; Zhang, K.","Li, Weiwei (59883180600); Su, Zhou (56237795400); Zhang, Kuan (55695066400)",59883180600; 56237795400; 55695066400,Security Solutions for IoT-Enabled Applications Against the Disease Pandemic,2021,IEEE Internet of Things Magazine,4,4,,100,106,2,10.1109/IOTM.001.2100056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159454343&doi=10.1109%2FIOTM.001.2100056&partnerID=40&md5=00b6a18577b12dacd46f012d2f3b4cfa,"Shanghai University, Shanghai, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China; University of Nebraska–Lincoln, Lincoln, NE, United States","Li, Weiwei, Shanghai University, Shanghai, China; Su, Zhou, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Zhang, Kuan, University of Nebraska–Lincoln, Lincoln, NE, United States","Amid the COVID-19 pandemic, the Internet of Things (IoT) has rapidly taken on a powerful role to combat it with the emerging smart medicine, smart community, smart city, smart home, and so on. IoT devices are widely deployed in various places to provide feasible solutions for personnel temperature detection, medical treatment, and quarantine control during the pandemic. However, IoT-enabled applications inevitably face serious security challenges due to the massive amount of sensitive data. In this article, we first investigate several strategies of pandemic control based on IoT and the critical supporting technologies, 5G, artificial intelligence, and blockchain. Then we present the security issues in the process of data collection to usage in the applications. Through the analysis of specific paradigms, the Internet of Medical Things (IoMT) and a location check-in system, we exploit the potential security challenges, including data leakage and false sensing. Countermeasures are proposed to address these issues and are effectively validated by simulation results. Finally, some open issues instead of data security threats of IoT are outlined. © 2018 IEEE.",,Article,Final,,Scopus,2-s2.0-85159454343,Yes,China,Public Health,Health & Well-being,Digital Transformation & Smart Cities,Not Specified,Not Specified,Investigate IoT security solutions for pandemic control in smart city applications,"SDG 3 (Health), SDG 11 (Sustainable Cities)",Review/Survey,Qualitative,Local,Present,Cross-sectional,Strong
